Time_s,RF,BF,VM,ST,FX
0.0,-0.0023,-0.003,-0.0105,-0.0023,56.5
0.001,-0.0015,-0.003,-0.0068,-0.0015,56.4
0.002,0.0015,-0.003,-0.0075,-0.0008,56.4
0.003,0.0007,-0.0015,-0.0068,-0.0015,56.3
0.004,0.0015,0.0,-0.0068,-0.0023,56.2
0.005,0.0015,0.0,-0.006,-0.003,56.2
0.006,-0.0015,-0.0008,-0.0046,-0.003,56.1
0.007,-0.0015,-0.0008,-0.0038,-0.0015,56.0
0.008,-0.0015,-0.0008,-0.0008,-0.0015,55.9
0.009,-0.0046,-0.003,0.0022,0.0007,55.8
0.01,-0.003,-0.003,0.0037,0.003,55.8
0.011,-0.0046,-0.0023,0.0052,0.0037,55.7
0.012,-0.0046,-0.0015,0.009,0.006,55.6
0.013,-0.0068,-0.0008,0.0142,0.0067,55.6
0.014,-0.0075,-0.0015,0.018,0.0082,55.5
0.015,-0.0068,-0.003,0.0202,0.0075,55.4
0.016,-0.0068,-0.0046,0.021,0.0082,55.3
0.017,-0.0046,-0.003,0.024,0.0097,55.3
0.018,-0.0046,-0.0038,0.024,0.0105,55.2
0.019,-0.0038,-0.0023,0.0217,0.0082,55.1
0.02,-0.0015,0.0015,0.0195,0.0067,55.0
0.021,-0.003,-0.0008,0.0127,0.0045,54.9
0.022,-0.003,-0.0008,0.0127,0.0022,54.8
0.023,-0.0023,-0.0015,0.0142,0.003,54.6
0.024,-0.003,-0.0008,0.0135,0.0045,54.4
0.025,-0.0008,0.0007,0.0142,0.0052,54.3
0.026,0.0015,0.0,0.0105,0.0045,54.2
0.027,0.0015,0.0015,-0.0046,0.0007,54.0
0.028,0.009,0.0045,-0.0293,-0.0053,53.9
0.029,0.0165,0.009,-0.0405,-0.0068,53.8
0.03,0.0157,0.009,-0.0428,-0.0068,53.6
0.031,0.0157,0.009,-0.042,-0.006,53.5
0.032,0.0127,0.0052,-0.0368,-0.0046,53.3
0.033,0.0112,0.003,-0.0353,-0.0046,53.2
0.034,0.0097,0.0045,-0.027,-0.003,53.1
0.035,0.0067,0.0037,-0.0165,-0.0008,52.9
0.036,0.0045,0.0007,-0.0105,-0.0008,52.8
0.037,0.0007,-0.0015,-0.0053,0.0007,52.6
0.038,-0.0038,-0.0015,0.0007,0.0022,52.5
0.039,-0.0098,-0.0053,0.0112,0.0045,52.3
0.04,-0.0158,-0.006,0.021,0.006,52.2
0.041,-0.0158,-0.0083,0.0322,0.0075,52.0
0.042,-0.0165,-0.0083,0.0397,0.0105,51.8
0.043,-0.0158,-0.006,0.0457,0.0142,51.7
0.044,-0.0143,-0.0068,0.0502,0.0127,51.5
0.045,-0.015,-0.0068,0.0502,0.012,51.3
0.046,-0.0143,-0.0083,0.0495,0.0105,51.2
0.047,-0.0143,-0.0083,0.0442,0.006,51.0
0.048,-0.0135,-0.0068,0.0397,0.0067,50.8
0.049,-0.0158,-0.0083,0.036,0.0045,50.6
0.05,-0.0135,-0.0046,0.0255,0.0007,50.4
0.051,-0.0083,-0.0046,0.012,-0.0015,50.3
0.052,-0.0075,-0.0053,0.0052,-0.0046,50.1
0.053,-0.0046,-0.0023,0.0015,-0.0038,49.9
0.054,-0.003,-0.0023,0.0015,-0.0046,49.7
0.055,0.0007,-0.0008,0.0015,-0.003,49.5
0.056,0.0022,0.0,0.0007,0.0015,49.4
0.057,0.0052,-0.0008,0.0067,0.006,49.2
0.058,0.0067,0.0015,0.0195,0.0165,49.0
0.059,0.0037,0.0037,0.0307,0.0322,48.9
0.06,0.0052,0.0067,0.0307,0.0465,48.6
0.061,0.0052,0.009,0.0262,0.0322,48.5
0.062,0.0045,0.0052,0.0262,-0.0053,48.2
0.063,-0.0008,0.0007,0.0277,-0.0195,48.0
0.064,-0.0046,-0.0015,0.018,-0.0315,47.8
0.065,-0.0008,-0.0015,0.0067,-0.0503,47.5
0.066,0.0,-0.0008,-0.0015,-0.0525,47.3
0.067,0.0015,0.0,-0.0128,-0.054,47.1
0.068,0.0007,-0.0046,-0.021,-0.0615,46.8
0.069,0.0007,-0.006,-0.0338,-0.0721,46.6
0.07,0.0045,-0.0046,-0.0361,-0.0728,46.4
0.071,0.003,-0.0053,-0.033,-0.0623,46.2
0.072,0.003,-0.0023,-0.0346,-0.0465,45.9
0.073,0.0052,-0.0023,-0.0315,-0.03,45.7
0.074,0.006,-0.0023,-0.0278,-0.0225,45.5
0.075,0.0067,0.0,-0.024,-0.0173,45.2
0.076,0.0082,0.0015,-0.021,-0.0098,45.0
0.077,0.0105,0.006,-0.012,0.0007,44.8
0.078,0.0142,0.0097,0.0022,0.009,44.5
0.079,0.018,0.0127,0.009,0.015,44.3
0.08,0.0165,0.0142,0.0067,0.0157,44.1
0.081,0.0127,0.0097,-0.0053,0.0112,43.8
0.082,0.012,0.0075,-0.0195,0.009,43.6
0.083,0.0142,0.0097,-0.0353,0.0067,43.2
0.084,0.0157,0.0097,-0.0525,0.003,43.0
0.085,0.0172,0.0112,-0.0691,0.006,42.7
0.086,0.0225,0.012,-0.0863,0.0127,42.4
0.087,0.027,0.0112,-0.0968,0.0157,42.2
0.088,0.024,0.0105,-0.093,0.0165,41.8
0.089,0.0157,0.009,-0.0728,0.0217,41.6
0.09,0.0045,-0.0008,-0.0248,0.03,41.3
0.091,-0.0218,-0.0173,0.0592,0.0435,41.0
0.092,-0.0518,-0.0308,0.114,0.0472,40.8
0.093,-0.0645,-0.0368,0.1432,0.0495,40.5
0.094,-0.0871,-0.0533,0.2505,0.0652,40.2
0.095,-0.1238,-0.0691,0.3135,0.0615,39.9
0.096,-0.12,-0.0585,0.2647,0.0487,39.6
0.097,-0.0908,-0.0398,0.213,0.0442,39.4
0.098,-0.057,-0.021,0.141,0.0307,39.1
0.099,-0.027,-0.0105,0.0862,0.0202,38.8
0.1,-0.0068,-0.0023,0.0165,0.0142,38.5
0.101,0.03,0.0165,-0.039,0.012,38.2
0.102,0.0465,0.0255,-0.0323,0.012,37.9
0.103,0.0435,0.0217,0.0067,0.0007,37.6
0.104,0.0202,0.0052,0.057,-0.012,37.3
0.105,0.0015,0.0007,0.0352,-0.024,37.0
0.106,0.0067,0.0015,0.0082,-0.0173,36.7
0.107,0.0067,0.003,-0.0053,0.0037,36.4
0.108,0.012,0.0082,-0.03,0.027,36.1
0.109,0.0232,0.012,-0.0555,0.0532,35.8
0.11,0.0322,0.0127,-0.0795,0.0502,35.5
0.111,0.0382,0.0142,-0.0968,0.009,35.2
0.112,0.0427,0.0217,-0.1163,-0.0278,34.9
0.113,0.045,0.0225,-0.1223,-0.0398,34.6
0.114,0.039,0.0165,-0.1193,-0.042,34.2
0.115,0.0315,0.0165,-0.1178,-0.0383,34.0
0.116,0.0292,0.0157,-0.1148,-0.0256,33.7
0.117,0.0255,0.0157,-0.105,-0.0128,33.3
0.118,0.0217,0.0127,-0.0968,-0.0128,33.0
0.119,0.0195,0.0135,-0.0803,-0.0256,32.8
0.12,0.018,0.0142,-0.0691,-0.0315,32.4
0.121,0.015,0.012,-0.0585,-0.021,32.1
0.122,0.009,0.0082,-0.0443,-0.003,31.8
0.123,0.0097,0.0052,-0.0413,0.0105,31.5
0.124,0.0127,0.0082,-0.0398,0.0187,31.1
0.125,0.015,0.003,-0.042,0.0262,30.8
0.126,0.0142,-0.003,-0.048,0.027,30.4
0.127,0.0135,-0.0038,-0.0495,0.0127,30.1
0.128,0.0157,-0.003,-0.0518,-0.0068,29.7
0.129,0.018,0.0022,-0.0495,-0.0143,29.4
0.13,0.0165,0.0052,-0.0368,-0.0165,29.1
0.131,0.0127,0.0045,-0.0368,-0.015,28.8
0.132,0.0127,0.0037,-0.0353,-0.0158,28.4
0.133,0.0105,0.003,-0.0293,-0.0195,28.1
0.134,0.0052,0.0015,-0.0256,-0.0173,27.8
0.135,0.0007,-0.003,-0.0188,-0.0158,27.4
0.136,-0.0015,-0.0053,-0.0165,-0.0128,27.1
0.137,0.0,-0.0046,-0.0143,-0.0105,26.7
0.138,-0.0015,-0.003,-0.0181,-0.0098,26.4
0.139,-0.0046,0.003,-0.0256,-0.0105,26.1
0.14,-0.003,0.0082,-0.0278,-0.012,25.7
0.141,-0.0068,0.0082,-0.0218,-0.0195,25.4
0.142,-0.0068,0.0067,-0.0098,-0.0368,25.0
