Time_s,RF,BF,VM,ST,FX
0.0,-0.0023,-0.0256,0.0037,-0.0218,-4.2
0.001,-0.003,-0.0218,0.0015,-0.006,-4.2
0.002,-0.0023,-0.0113,0.0007,0.015,-4.2
0.003,-0.0008,-0.0008,0.0007,0.0352,-4.2
0.004,-0.0008,-0.0083,0.0007,0.036,-4.2
0.005,0.0007,-0.0068,0.0015,0.0142,-4.2
0.006,0.0007,-0.0046,0.003,-0.0023,-4.2
0.007,-0.0008,-0.0068,0.0052,-0.0083,-4.2
0.008,0.0007,-0.0053,0.0045,-0.0083,-4.2
0.009,0.0015,-0.0098,0.003,-0.0091,-4.2
0.01,0.0007,-0.0083,0.0045,-0.0105,-4.2
0.011,0.0015,-0.0091,0.0052,-0.0091,-4.2
0.012,0.0007,-0.006,0.0045,-0.0091,-4.2
0.013,-0.0015,-0.0053,0.0045,-0.0083,-4.2
0.014,-0.003,-0.0053,0.003,-0.0083,-4.2
0.015,-0.003,-0.0046,0.003,-0.0068,-4.2
0.016,-0.0015,-0.0023,0.0045,-0.0038,-4.2
0.017,0.0007,0.0022,0.0022,-0.0038,-4.2
0.018,0.0022,0.0,0.0022,-0.0023,-4.2
0.019,0.0037,-0.0015,0.0015,0.0007,-4.2
0.02,0.0015,-0.0015,0.0015,0.0015,-4.2
0.021,0.0015,-0.0053,0.0007,0.0015,-4.2
0.022,0.0007,-0.0046,0.0015,0.0007,-4.2
0.023,0.0015,-0.0053,0.0015,0.0007,-4.2
0.024,0.003,-0.0046,-0.0008,-0.0015,-4.2
0.025,-0.0008,0.0,-0.003,0.0015,-4.2
0.026,-0.0008,-0.0008,-0.0053,0.0015,-4.2
0.027,0.0007,-0.006,-0.006,0.0022,-4.2
0.028,-0.0015,-0.0105,-0.0053,0.003,-4.2
0.029,-0.0008,-0.006,-0.0053,0.0045,-4.2
0.03,-0.0023,0.0007,-0.0038,0.0097,-4.2
0.031,-0.0015,0.0022,-0.0046,0.0127,-4.2
0.032,-0.0015,0.0067,-0.0038,0.0142,-4.2
0.033,-0.003,0.0075,-0.0015,0.012,-4.2
0.034,-0.0008,0.0127,0.0,0.009,-4.2
0.035,0.0007,0.027,0.0,0.0112,-4.2
0.036,0.0015,0.039,0.0007,0.012,-4.2
0.037,0.003,0.0285,0.003,0.006,-4.2
0.038,0.0022,0.0112,0.0037,0.0022,-4.2
0.039,0.0007,0.006,0.003,0.0007,-4.2
0.04,-0.003,-0.0015,0.0015,0.003,-4.2
0.041,-0.0038,0.0,0.0,0.0075,-4.2
0.042,-0.003,-0.0008,-0.0008,0.003,-4.1
0.043,-0.0015,-0.0038,0.0015,0.0015,-4.1
0.044,-0.0008,-0.0046,0.0007,0.0,-4.1
0.045,-0.003,-0.0068,-0.0008,0.003,-4.1
0.046,-0.003,-0.0091,-0.0008,0.006,-4.1
0.047,-0.0023,-0.0105,-0.0008,0.006,-4.1
0.048,0.0007,-0.0053,0.0,0.0075,-4.1
0.049,0.0007,-0.0008,0.0007,0.009,-4.1
0.05,-0.0008,-0.0015,0.0007,0.009,-4.1
0.051,-0.003,-0.0023,0.0,0.0045,-4.1
0.052,-0.0046,0.0007,-0.0015,0.0015,-4.1
0.053,-0.0053,-0.0008,-0.0008,0.0007,-4.1
0.054,-0.0046,0.0,0.003,0.0015,-4.0
0.055,-0.0008,0.0037,0.0015,0.0007,-4.0
0.056,0.0,0.003,0.0022,0.0015,-4.0
0.057,-0.0008,0.0052,0.0015,0.003,-4.0
0.058,-0.003,0.003,0.0015,0.0022,-4.0
0.059,-0.0023,0.0022,0.0007,0.003,-4.0
0.06,-0.0008,0.0037,0.0007,0.003,-4.0
0.061,-0.0023,0.0015,0.0007,0.0052,-4.0
0.062,-0.0015,-0.0053,-0.0008,0.0052,-3.9
0.063,-0.0015,-0.0105,-0.0008,0.0052,-3.9
0.064,-0.0015,-0.006,0.0015,0.009,-3.9
0.065,-0.0015,-0.006,0.0007,0.009,-3.9
0.066,-0.0038,-0.0046,0.0,0.012,-3.9
0.067,-0.0046,-0.003,0.0007,0.0112,-3.9
0.068,-0.0046,-0.0023,-0.0015,0.0112,-3.9
0.069,-0.0038,-0.003,-0.0008,0.0127,-3.9
0.07,-0.003,-0.0046,0.0015,0.0105,-3.8
0.071,-0.0008,0.0022,0.003,0.0082,-3.8
0.072,0.0015,0.0015,0.0052,0.0082,-3.8
0.073,0.0022,-0.0038,0.0067,0.0067,-3.8
0.074,0.003,-0.0128,0.0067,0.0045,-3.8
0.075,0.0015,-0.021,0.0052,0.0015,-3.8
0.076,0.0015,-0.0233,0.0045,-0.0023,-3.8
0.077,-0.0008,-0.024,0.0037,-0.0046,-3.8
0.078,-0.0008,-0.0188,0.003,-0.0053,-3.7
0.079,-0.0008,-0.0158,0.0037,-0.006,-3.7
0.08,0.0007,-0.0158,0.0022,-0.0053,-3.7
0.081,0.0007,-0.0105,0.003,-0.0046,-3.7
0.082,0.0007,-0.0083,0.0022,-0.006,-3.7
0.083,0.0007,-0.0105,0.0022,-0.0083,-3.7
0.084,-0.0015,-0.0113,0.0045,-0.0068,-3.7
0.085,-0.0015,-0.0128,0.0067,-0.0083,-3.6
0.086,0.0,-0.012,0.006,-0.0053,-3.6
0.087,-0.0008,-0.0068,0.0045,-0.0068,-3.6
0.088,0.0007,-0.0053,0.0052,-0.0113,-3.6
0.089,0.0007,-0.0015,0.0052,-0.012,-3.6
0.09,0.0007,0.0007,0.0045,-0.012,-3.6
0.091,0.0015,0.0022,0.0015,-0.0091,-3.6
0.092,0.0007,0.0067,-0.0015,-0.0083,-3.6
0.093,-0.0008,0.0082,-0.0015,-0.0105,-3.5
0.094,-0.0023,0.0075,-0.0008,-0.0113,-3.5
0.095,-0.0015,0.0037,-0.0008,-0.0105,-3.5
0.096,-0.0015,0.0052,0.0,-0.0128,-3.5
0.097,-0.0046,0.0082,-0.0008,-0.0143,-3.5
0.098,-0.0023,0.009,-0.0023,-0.0113,-3.5
0.099,-0.0015,0.009,-0.003,-0.0091,-3.4
0.1,-0.0008,0.0067,-0.0008,-0.0075,-3.4
0.101,0.0,0.0022,-0.0008,-0.0091,-3.4
0.102,0.0,0.0,-0.0023,-0.0091,-3.4
0.103,0.0,0.0015,-0.0015,-0.006,-3.4
0.104,-0.0015,0.003,-0.003,-0.006,-3.4
0.105,-0.0008,0.0007,-0.0015,-0.0046,-3.4
0.106,-0.0008,0.0007,0.0,-0.0053,-3.4
0.107,0.0,0.003,-0.0008,-0.0038,-3.4
0.108,0.0007,0.0015,0.0007,-0.0046,-3.3
0.109,0.0015,0.0015,0.0015,-0.0053,-3.3
0.11,0.0022,0.0,0.0015,-0.0053,-3.3
0.111,0.0007,-0.0046,-0.0008,-0.0053,-3.3
0.112,-0.0008,-0.0068,-0.003,-0.0053,-3.3
0.113,0.0007,-0.0075,-0.003,-0.0053,-3.3
0.114,0.0,-0.0053,-0.0015,-0.0053,-3.3
0.115,0.0,-0.0046,0.0007,-0.0053,-3.3
0.116,0.0007,-0.0046,0.0,-0.0023,-3.3
0.117,0.0007,-0.0075,0.0,-0.0008,-3.3
0.118,-0.0008,-0.0038,-0.0008,-0.0023,-3.2
0.119,0.0007,0.0142,-0.0008,-0.0015,-3.2
0.12,0.0007,0.0307,0.0015,-0.0015,-3.2
0.121,0.0007,0.0187,0.0007,-0.0023,-3.2
0.122,0.0015,0.0105,0.0015,-0.0008,-3.2
0.123,0.0007,0.0127,0.0007,0.0015,-3.2
0.124,0.0007,0.0045,-0.003,0.0015,-3.2
0.125,0.0015,0.0052,-0.003,0.0015,-3.2
0.126,0.0022,0.0022,-0.0015,0.0045,-3.2
0.127,0.003,0.0015,-0.0015,0.012,-3.2
0.128,0.003,0.0015,-0.0008,0.0135,-3.2
0.129,0.0037,-0.003,-0.0015,0.012,-3.2
0.13,0.0007,0.0,-0.0008,0.0105,-3.1
0.131,0.0007,-0.0008,0.0,0.0105,-3.1
0.132,0.0037,-0.0023,0.0007,0.0112,-3.1
0.133,0.0015,-0.0046,0.0015,0.009,-3.1
0.134,0.0007,-0.0053,0.003,0.006,-3.1
0.135,0.0,-0.0068,0.0045,0.006,-3.1
0.136,-0.0008,-0.006,0.0067,0.0067,-3.1
