Time_s,RF,BF,VM,ST,FX
0.0,-0.0015,0.0,0.0007,0.0,-1.0
0.001,-0.0008,0.0015,0.003,-0.0015,-1.0
0.002,0.0007,0.0015,0.0037,-0.0023,-1.0
0.003,-0.0008,0.0,0.0022,-0.0015,-1.0
0.004,0.0,-0.0008,0.003,-0.0008,-1.0
0.005,-0.0008,0.0007,0.0022,-0.0015,-1.0
0.006,-0.0008,0.0007,0.0007,-0.0023,-1.0
0.007,0.0007,0.0,-0.0015,-0.0023,-1.0
0.008,-0.0008,0.003,-0.0023,-0.0015,-1.0
0.009,0.0007,0.0015,-0.0053,-0.0015,-1.0
0.01,-0.0015,0.0,-0.0068,-0.0008,-1.0
0.011,-0.0015,0.0007,-0.0046,0.0007,-1.0
0.012,-0.0015,0.0015,-0.0046,0.0015,-1.0
0.013,-0.003,0.0,-0.0053,0.0007,-1.0
0.014,-0.0015,-0.0015,-0.006,0.0,-1.0
0.015,-0.0008,0.0,-0.006,0.0,-1.1
0.016,-0.0008,0.0007,-0.0046,-0.0023,-1.1
0.017,-0.0008,-0.0008,-0.0046,-0.0038,-1.1
0.018,-0.0008,-0.0008,-0.0053,-0.0015,-1.1
0.019,0.0007,-0.0008,-0.0038,0.0,-1.1
0.02,0.0,-0.0008,-0.0038,0.0,-1.1
0.021,-0.0008,0.0007,-0.0046,-0.0015,-1.1
0.022,0.0007,0.0007,-0.0053,-0.0038,-1.1
0.023,0.0015,0.0007,-0.0046,-0.0023,-1.1
0.024,0.0007,-0.0008,-0.0015,-0.0015,-1.0
0.025,0.0,-0.0008,-0.0008,-0.0015,-1.0
0.026,-0.0008,0.0007,0.0,-0.003,-1.0
0.027,-0.0008,0.0015,-0.0008,-0.003,-1.0
0.028,0.0007,0.0015,0.0007,-0.0023,-0.9
0.029,0.0015,0.0007,0.0007,-0.0008,-0.9
0.03,0.0007,0.0007,0.0022,-0.0008,-0.9
0.031,0.0007,0.0015,0.0007,-0.003,-0.9
0.032,0.0007,0.0015,0.0007,-0.003,-0.9
0.033,0.0007,0.0,0.003,-0.0015,-0.9
0.034,0.0007,0.0,0.003,-0.0023,-0.9
0.035,-0.0008,-0.0008,0.0015,-0.0046,-0.8
0.036,-0.0008,-0.0008,-0.0008,-0.0023,-0.8
0.037,-0.0008,-0.0008,-0.0015,-0.0015,-0.8
0.038,-0.0015,0.0007,-0.0023,-0.003,-0.8
