Time_s,RF,BF,VM,ST,FX
0.0,-0.003,0.0007,0.0045,-0.0046,43.7
0.001,-0.0015,0.0022,0.0022,-0.0038,43.8
0.002,-0.0008,0.0045,0.0,-0.003,43.9
0.003,0.0,0.0067,0.0015,-0.0038,43.9
0.004,0.0007,0.0067,0.0,-0.003,44.0
0.005,0.0007,0.0052,-0.0015,-0.0015,44.1
0.006,0.0015,0.0015,-0.0015,-0.0023,44.1
0.007,0.0015,-0.0046,0.0015,-0.0046,44.1
0.008,0.0,-0.0105,0.0022,-0.003,44.2
0.009,0.0007,-0.0113,0.0015,-0.003,44.3
0.01,-0.0008,-0.0075,0.0007,-0.0015,44.3
0.011,0.0,0.0,-0.0015,-0.003,44.4
0.012,0.0,0.003,0.0007,-0.0023,44.5
0.013,-0.0015,0.0045,0.0015,0.0,44.5
0.014,-0.0008,0.006,0.0037,0.0015,44.5
0.015,-0.0015,0.0052,0.006,0.0015,44.6
0.016,-0.0008,0.0067,0.0075,0.0015,44.7
0.017,0.0,0.009,0.006,0.0007,44.7
0.018,-0.0008,0.0105,0.003,-0.0008,44.8
0.019,-0.0008,0.009,0.003,0.0015,44.9
0.02,-0.0015,0.0067,0.0037,0.0022,44.9
0.021,-0.0008,0.0045,0.0045,0.0022,44.9
0.022,0.0007,0.0045,0.003,0.0015,45.0
0.023,0.0007,0.0052,0.0037,0.0007,45.0
0.024,-0.0008,0.003,0.003,0.0007,45.0
0.025,-0.0015,-0.0008,0.003,0.0015,45.0
0.026,-0.0015,-0.0038,0.0045,0.0007,45.0
0.027,0.0,-0.006,0.0045,-0.0008,45.0
0.028,0.0007,-0.0105,0.0045,-0.003,45.1
0.029,0.0007,-0.015,0.0037,-0.0046,45.1
0.03,-0.0008,-0.0165,0.0007,-0.0046,45.1
0.031,0.0007,-0.012,-0.0008,-0.0053,45.1
0.032,0.0015,-0.0083,-0.0008,-0.0068,45.1
0.033,0.0,-0.0068,-0.0008,-0.0083,45.2
0.034,0.0007,-0.0038,-0.0008,-0.0075,45.2
0.035,0.0022,0.0015,-0.0015,-0.0053,45.2
0.036,0.0015,0.0045,-0.0015,-0.0068,45.2
0.037,0.0015,0.006,-0.0023,-0.0053,45.3
0.038,0.0015,0.0082,-0.0015,-0.0053,45.3
0.039,0.0007,0.0105,-0.003,-0.0068,45.3
0.04,0.0,0.012,-0.003,-0.0068,45.3
0.041,-0.0008,0.0105,-0.003,-0.0083,45.3
0.042,0.0,0.0097,-0.003,-0.0075,45.3
0.043,-0.0015,0.0105,-0.0008,-0.0068,45.3
0.044,-0.0015,0.0105,-0.0015,-0.0075,45.3
0.045,-0.0008,0.012,-0.0038,-0.0075,45.2
0.046,-0.0008,0.0097,-0.0038,-0.0083,45.2
0.047,-0.0015,0.003,-0.0023,-0.0083,45.2
0.048,-0.0008,-0.0015,-0.0015,-0.006,45.1
0.049,-0.0008,-0.0008,-0.0008,-0.0053,45.1
0.05,-0.0023,-0.0046,0.0007,-0.0038,45.1
0.051,-0.003,-0.0068,0.0015,-0.0015,45.0
0.052,-0.0015,-0.0053,0.0015,-0.0015,45.0
0.053,-0.003,-0.0046,0.0015,-0.0008,45.0
0.054,-0.0053,-0.003,-0.0008,0.0015,45.0
0.055,-0.0046,0.0,0.0007,0.0007,45.0
0.056,-0.0038,0.0022,0.0022,-0.0015,44.9
0.057,-0.0038,0.0015,0.0015,-0.0015,44.9
0.058,-0.0046,0.003,0.003,-0.0015,44.9
0.059,-0.0046,0.0052,0.003,-0.0008,44.9
0.06,-0.0053,0.006,0.003,0.0007,44.8
0.061,-0.0053,0.003,0.0007,0.0015,44.8
0.062,-0.0053,0.0037,-0.0015,0.0015,44.7
0.063,-0.0046,0.0052,-0.0023,-0.0008,44.6
0.064,-0.0038,0.0052,-0.0038,-0.0015,44.5
0.065,-0.0023,0.0052,-0.0015,-0.0015,44.5
0.066,-0.003,0.0052,-0.0008,-0.0023,44.4
0.067,-0.0038,0.0082,-0.0008,-0.0008,44.4
0.068,-0.0038,0.009,-0.003,-0.0008,44.3
0.069,-0.003,0.0075,-0.0015,-0.0008,44.2
0.07,-0.0038,0.0045,-0.0008,-0.0008,44.1
0.071,-0.0053,0.0022,-0.0023,0.0,44.1
0.072,-0.0046,0.0052,-0.0008,0.0015,44.1
0.073,-0.0038,0.0052,-0.0008,0.0007,44.0
0.074,-0.0053,0.0067,-0.0015,0.0,43.9
0.075,-0.0046,0.0075,-0.0008,0.0022,43.8
0.076,-0.003,0.0075,-0.0015,0.003,43.8
0.077,-0.003,0.0097,-0.0046,0.003,43.7
0.078,-0.0015,0.0142,-0.0053,0.003,43.6
0.079,-0.0023,0.012,-0.003,0.003,43.6
0.08,-0.003,0.009,-0.0023,0.003,43.5
0.081,-0.0015,0.0112,0.0007,0.0022,43.4
0.082,-0.0015,0.009,0.0015,0.003,43.3
0.083,-0.0008,0.009,0.0007,0.0037,43.2
0.084,0.0,0.009,0.0015,0.0037,43.2
0.085,0.0,0.0082,0.0022,0.0015,43.1
0.086,-0.0008,0.0067,0.0022,0.003,43.0
0.087,0.0,0.0037,0.0022,0.0037,42.9
0.088,0.0015,0.0045,0.0022,0.0045,42.8
0.089,0.0007,0.003,0.0015,0.0037,42.7
0.09,0.0015,-0.0015,0.0022,0.0045,42.7
0.091,-0.0015,0.0007,0.0045,0.006,42.6
0.092,-0.0008,0.0022,0.0052,0.0037,42.5
0.093,-0.0015,0.0007,0.0052,0.0045,42.4
0.094,-0.0046,-0.0015,0.0037,0.003,42.3
0.095,-0.003,-0.0023,0.0007,0.0022,42.3
0.096,-0.003,-0.003,0.0,0.003,42.2
0.097,-0.0046,-0.0046,-0.0008,0.0015,42.1
0.098,-0.0046,-0.0053,-0.0008,0.0007,42.0
0.099,-0.0046,-0.003,0.0015,0.0,41.9
0.1,-0.0053,-0.003,0.0007,0.0007,41.8
0.101,-0.0046,-0.0046,0.003,-0.003,41.7
0.102,-0.0015,-0.0046,0.0015,-0.0046,41.6
0.103,-0.003,-0.0046,0.0015,-0.003,41.5
0.104,-0.003,-0.0083,0.0007,-0.0046,41.4
0.105,-0.0015,-0.0105,0.0007,-0.0053,41.3
0.106,0.0,-0.0091,0.0,-0.0046,41.1
0.107,0.0015,-0.0083,0.0,-0.0046,41.0
0.108,0.0007,-0.0091,0.0,-0.0046,40.9
0.109,0.0,-0.0098,-0.0015,-0.003,40.8
0.11,0.0,-0.0098,-0.0008,-0.003,40.7
0.111,0.0007,-0.0091,0.0007,-0.003,40.5
0.112,0.0007,-0.0083,-0.0008,-0.0038,40.5
0.113,0.0007,-0.0083,-0.0015,-0.0023,40.3
0.114,0.0022,-0.0091,-0.003,-0.003,40.2
0.115,0.0015,-0.0113,-0.0008,-0.0053,40.1
0.116,0.0,-0.0158,-0.0015,-0.0053,40.0
0.117,-0.0008,-0.0181,-0.0008,-0.0046,39.9
0.118,-0.0015,-0.0188,0.0,-0.0046,39.7
0.119,-0.0015,-0.0195,0.0007,-0.0046,39.6
0.12,-0.003,-0.0203,0.0015,-0.003,39.5
0.121,-0.0046,-0.0225,0.0007,-0.0053,39.3
0.122,-0.003,-0.0195,0.0015,-0.006,39.2
0.123,-0.003,-0.0181,0.0007,-0.0038,39.0
0.124,-0.0015,-0.0143,0.0015,-0.0046,38.8
0.125,-0.003,-0.0083,0.0007,-0.0015,38.6
0.126,-0.0015,-0.003,-0.003,-0.0015,38.5
0.127,-0.0008,0.003,-0.0046,-0.0015,38.3
0.128,-0.0015,-0.0015,-0.0068,-0.0008,38.2
0.129,0.0007,-0.0158,-0.0068,-0.003,38.0
0.13,0.0,-0.0128,-0.006,-0.0046,37.8
0.131,-0.0015,-0.0143,-0.0053,-0.0053,37.7
0.132,-0.003,-0.0165,-0.0053,-0.0023,37.5
0.133,-0.003,-0.0053,-0.0053,0.0,37.3
0.134,-0.0008,-0.0083,-0.006,-0.0008,37.2
0.135,-0.0008,-0.012,-0.006,0.0,37.0
0.136,-0.0015,-0.0098,-0.0053,-0.0008,36.9
0.137,-0.0015,-0.0083,-0.003,0.0015,36.7
0.138,-0.0008,-0.006,-0.0023,0.0067,36.5
0.139,-0.0015,0.0105,-0.0008,0.0105,36.4
0.14,-0.0023,0.0202,0.0,0.0135,36.1
0.141,-0.0046,0.0007,-0.0015,0.0045,36.0
0.142,-0.0046,-0.0158,-0.0023,-0.0008,35.7
0.143,-0.0038,-0.0128,-0.0015,0.0,35.5
0.144,-0.0038,-0.0091,0.0007,-0.0046,35.3
0.145,-0.0046,-0.0105,0.0007,-0.003,35.1
0.146,-0.0053,-0.0143,0.003,-0.003,34.9
0.147,-0.0046,-0.0158,0.0015,-0.003,34.6
0.148,-0.0046,-0.0256,0.0007,-0.0053,34.5
