Time_s,RF,BF,VM,ST,FX
0.0,-0.0008,-0.0046,0.003,-0.0098,-59.1
0.001,0.0007,-0.0053,0.0015,-0.006,-59.2
0.002,0.0,-0.0046,0.003,-0.0015,-59.3
0.003,0.0007,-0.0015,0.0067,0.003,-59.4
0.004,-0.0008,-0.0023,0.0052,0.012,-59.4
0.005,-0.0008,-0.0015,0.006,0.0165,-59.5
0.006,-0.0015,0.0007,0.0052,0.018,-59.6
0.007,-0.0008,0.0022,0.0045,0.0202,-59.7
0.008,0.0015,0.003,0.0067,0.0165,-59.8
0.009,0.0015,0.0022,0.0045,0.0127,-59.9
0.01,0.0007,0.0015,0.0045,0.0105,-60.0
0.011,-0.0015,0.0007,0.0037,0.009,-60.1
0.012,0.0007,0.0015,0.0045,0.0045,-60.2
0.013,0.0,-0.0008,0.003,0.0,-60.3
0.014,0.0007,-0.0015,0.0007,-0.0015,-60.4
0.015,0.0045,-0.003,0.0007,-0.006,-60.5
0.016,0.0007,-0.0046,0.0007,-0.0091,-60.6
0.017,0.0007,-0.003,0.0015,-0.0091,-60.7
0.018,0.0007,-0.0046,0.0015,-0.0091,-60.8
0.019,0.0007,-0.003,-0.0008,-0.0068,-60.8
0.02,0.0007,-0.003,-0.0008,-0.0053,-61.0
0.021,-0.0008,-0.0015,-0.003,-0.0053,-61.0
0.022,0.0,0.0,-0.0008,-0.006,-61.0
0.023,-0.0023,0.0,0.0022,-0.0053,-61.1
0.024,-0.003,0.0,0.003,-0.0068,-61.2
0.025,-0.003,0.0007,0.0052,-0.0083,-61.2
0.026,-0.0023,0.0015,0.0052,-0.0053,-61.2
0.027,-0.0008,-0.0015,0.0045,-0.0053,-61.3
0.028,-0.0008,-0.0015,0.0052,-0.0038,-61.4
0.029,0.0007,-0.003,0.0067,-0.003,-61.4
0.03,-0.0008,-0.0015,0.0067,-0.0008,-61.5
0.031,0.0007,0.0007,0.0052,0.0045,-61.5
0.032,0.0,0.0007,0.0067,0.006,-61.6
0.033,-0.0015,0.003,0.0052,0.0105,-61.7
0.034,-0.0023,0.0007,0.0045,0.012,-61.7
0.035,-0.0023,0.0007,0.003,0.0112,-61.7
0.036,-0.0008,0.0015,0.0022,0.0067,-61.8
0.037,-0.003,0.0007,0.003,0.0015,-61.8
0.038,-0.0023,0.0007,0.0022,-0.0015,-61.9
0.039,-0.0023,0.0007,0.0015,-0.0046,-62.0
0.04,-0.0015,-0.0015,0.0007,-0.0053,-62.1
0.041,0.0,-0.0015,0.0,-0.0053,-62.1
0.042,-0.0015,-0.0015,-0.0008,-0.0046,-62.1
0.043,-0.0015,-0.003,-0.0015,-0.0038,-62.1
0.044,0.0007,-0.003,-0.0015,-0.0053,-62.1
0.045,0.0,-0.0023,0.0007,-0.0068,-62.1
0.046,-0.0008,-0.0023,0.0,-0.0046,-62.1
0.047,-0.0008,-0.003,-0.003,-0.0038,-62.1
0.048,-0.0015,-0.0038,-0.0038,-0.0053,-62.2
0.049,-0.0008,-0.003,-0.0015,-0.0023,-62.2
0.05,0.0,-0.0015,-0.0008,-0.0008,-62.2
0.051,-0.0008,-0.003,0.0,0.0007,-62.2
0.052,0.0,-0.0023,-0.0015,-0.0008,-62.2
0.053,-0.0008,-0.0015,-0.0008,-0.003,-62.3
0.054,0.0007,-0.0046,0.0015,-0.0008,-62.3
0.055,0.003,-0.0038,0.003,-0.0015,-62.3
0.056,0.0037,-0.003,0.0022,-0.0038,-62.3
0.057,0.003,-0.0015,0.0015,-0.0038,-62.4
0.058,0.003,0.0007,0.0,-0.0008,-62.4
0.059,0.003,-0.0008,-0.0015,0.0015,-62.4
0.06,0.0015,-0.0015,-0.0015,0.0045,-62.5
0.061,0.003,-0.0023,-0.0015,0.0045,-62.5
0.062,0.003,-0.0023,0.0,0.0052,-62.4
0.063,0.0022,-0.0015,0.0007,0.006,-62.4
0.064,0.0022,-0.003,0.0015,0.0067,-62.4
0.065,0.003,-0.0038,0.0015,0.0082,-62.4
0.066,0.003,-0.003,0.003,0.0052,-62.3
0.067,0.003,-0.0023,0.003,0.0052,-62.3
0.068,0.003,-0.0015,0.003,0.003,-62.3
0.069,0.0015,-0.0015,0.0022,0.0,-62.3
0.07,0.0007,-0.0008,0.0015,0.0015,-62.2
0.071,0.0022,-0.0015,0.003,-0.0008,-62.2
0.072,0.003,-0.0008,0.0,-0.0046,-62.2
0.073,0.0015,0.0007,-0.0008,-0.0046,-62.2
0.074,0.0007,0.0,-0.0008,-0.003,-62.2
0.075,0.0015,-0.0015,-0.0015,-0.0008,-62.1
0.076,0.0007,-0.003,0.0007,0.0015,-62.1
0.077,0.0007,-0.003,0.0007,0.003,-62.1
0.078,0.0022,-0.0023,0.0015,0.0067,-62.1
0.079,0.0015,-0.0015,0.003,0.0075,-62.1
0.08,0.0007,-0.003,0.0022,0.0052,-62.1
0.081,0.0,-0.003,0.003,0.0052,-62.0
0.082,-0.0015,-0.003,0.0015,0.0052,-62.0
0.083,-0.0023,-0.0008,-0.0015,0.006,-61.9
0.084,-0.0008,-0.0008,-0.0008,0.0045,-61.8
0.085,0.0,-0.0015,-0.0008,0.0,-61.8
0.086,-0.0015,-0.0015,-0.0008,-0.0015,-61.7
0.087,-0.0015,-0.0008,-0.0008,-0.0046,-61.7
0.088,0.0,-0.0008,-0.0008,-0.0053,-61.6
0.089,0.0007,-0.0008,0.0007,-0.003,-61.6
0.09,0.0007,-0.0008,0.0007,-0.0008,-61.5
0.091,-0.0008,-0.0008,0.0015,0.0,-61.4
0.092,-0.0015,-0.0008,0.0007,-0.003,-61.4
0.093,-0.0008,-0.0008,0.0022,-0.0046,-61.3
0.094,-0.0015,-0.0015,0.0052,-0.0053,-61.2
0.095,-0.0023,-0.0015,0.003,-0.0053,-61.2
0.096,0.0007,-0.0008,0.0022,-0.0038,-61.2
0.097,0.0007,0.0007,0.003,-0.0046,-61.1
0.098,-0.0008,0.0022,0.0022,-0.003,-61.0
0.099,0.0022,0.0007,0.0015,-0.0038,-61.0
0.1,0.0015,-0.0008,0.0007,-0.0023,-60.9
0.101,0.0015,-0.0008,0.0,-0.0008,-60.8
0.102,0.0007,0.0,-0.0008,-0.0015,-60.8
0.103,-0.0023,-0.0008,0.0007,0.0,-60.7
0.104,-0.0015,-0.0015,0.0007,0.0007,-60.6
0.105,-0.0008,-0.0015,0.0007,-0.0008,-60.4
0.106,0.0007,0.0,0.0015,-0.0008,-60.3
0.107,0.0015,-0.0008,0.0015,0.0007,-60.3
0.108,0.0,-0.0015,0.0015,-0.0008,-60.2
0.109,-0.0015,-0.0008,0.0015,-0.0015,-60.1
